City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Ballina,AU,78.98,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
98,U Thong,TH,66.72,scattered clouds,14.3751,99.8923,คงทองทิพย์รีสอร์ท
99,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
113,Bilma,NE,68.38,clear sky,18.6853,12.9164,Expeditions Ténére voyages
115,Ponta Do Sol,PT,65.71,few clouds,32.6667,-17.1,Hotel do Campo
116,Maragogi,BR,78.69,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
117,San Cristobal,VE,71.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
126,Byron Bay,AU,78.91,broken clouds,-28.65,153.6167,Backpackers Inn
132,Saint George,US,70.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
134,Axim,GH,79.32,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
136,Dingle,PH,77.31,light rain,10.9995,122.6711,SEGAYA PROPERTY
137,Namibe,AO,71.11,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
140,Pacific Grove,US,78.91,clear sky,36.6177,-121.9166,Lovers Point Inn
143,Bahia Blanca,AR,67.41,light rain,-38.7196,-62.2724,Hotel Argos
145,Muscat,OM,68.02,clear sky,23.6139,58.5922,Mutrah Hotel
147,Kaitangata,NZ,65.93,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
154,Harlingen,US,76.24,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
156,Tabou,CI,79.81,scattered clouds,4.423,-7.3528,hotêl doufoulougou
165,Codrington,AU,66.22,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
167,Hobyo,SO,78.66,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
171,Jaru,BR,73.29,heavy intensity rain,-10.4389,-62.4664,Hotel Paraná
173,Port-Gentil,GA,78.78,light rain,-0.7193,8.7815,Fengshui Residence
174,Sao Joao Da Barra,BR,72.75,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
176,Puerto Del Rosario,ES,65.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
181,Biak,ID,78.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
185,Barberton,ZA,68.05,broken clouds,-25.7884,31.0532,Barberton B&B
