City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,San Juan,AR,-31.5375,-68.5364,89.58,13,2,10.96,clear sky
215,Yaan,NG,7.3833,8.5667,80.67,39,25,6.11,scattered clouds
216,Itarema,BR,-2.9248,-39.9167,80.98,77,75,14.67,broken clouds
217,Businga,CD,3.3333,20.8833,71.4,86,97,2.35,overcast clouds
218,Northam,GB,51.0333,-4.2167,49.6,88,45,12.59,scattered clouds
219,Saint-Raphael,HT,19.4333,-72.2,79.97,84,70,5.7,broken clouds
220,Esperance,AU,-33.8667,121.9,58.84,68,100,12.15,overcast clouds
221,Niamey,NE,13.5137,2.1098,80.89,13,0,2.3,clear sky
222,Nara,JP,34.6851,135.8049,51.98,72,1,3.67,clear sky
223,Sylvania,US,41.7189,-83.713,39.34,55,75,1.99,broken clouds
224,Souillac,MU,-20.5167,57.5167,74.35,83,20,4.61,few clouds
225,Kaeo,NZ,-35.1,173.7833,70.43,61,45,6.08,scattered clouds
226,Ayolas,PY,-27.4,-56.9,72.3,62,0,6.06,clear sky
227,Labuhan,ID,-6.8844,112.2051,77.41,85,100,7.05,overcast clouds
228,Belvidere,US,42.2639,-88.8443,44.46,52,100,16.04,overcast clouds
229,Banda Aceh,ID,5.5577,95.3222,75.54,91,100,3.22,heavy intensity rain
230,Abu Zabad,SD,12.35,29.25,79.59,33,75,9.26,broken clouds
231,Kaitangata,NZ,-46.2817,169.8464,63.93,55,100,4.16,overcast clouds
232,Erdenet,MN,49.0333,104.0833,7.65,84,84,3.56,broken clouds
233,Saint-Georges,GD,12.0564,-61.7485,85.68,66,40,14.97,scattered clouds
234,Maldonado,UY,-34.6667,-54.9167,65.59,96,100,25.23,overcast clouds
235,Leshan,CN,29.5623,103.7639,45.7,81,27,2.64,scattered clouds
236,Srednekolymsk,RU,67.45,153.6833,-19.48,98,100,5.06,overcast clouds
237,Teknaf,BD,20.8624,92.3058,67.6,69,83,5.08,broken clouds
238,East London,ZA,-33.0153,27.9116,68.2,87,46,6.42,scattered clouds
239,Tongliao,CN,43.6125,122.2653,12.87,93,83,4.61,broken clouds
240,Christchurch,NZ,-43.5333,172.6333,62.91,80,90,4.0,overcast clouds
241,Nantucket,US,41.2835,-70.0995,39.96,74,99,22.28,overcast clouds
242,Fairbanks,US,64.8378,-147.7164,-7.76,71,75,0.0,broken clouds
243,Beloha,MG,-25.1667,45.05,67.78,87,1,11.45,clear sky
244,Finote Selam,ET,10.7,37.2667,57.61,55,19,3.13,few clouds
245,Queenstown,ZA,-31.8976,26.8753,57.22,88,22,1.23,few clouds
246,Narsaq,GL,60.9167,-46.05,35.82,99,100,9.66,moderate rain
247,Ghansor,IN,22.65,79.95,55.8,50,55,3.8,broken clouds
248,Saint-Leu,RE,-21.15,55.2833,76.03,97,19,7.09,few clouds
249,Kodiak,US,57.79,-152.4072,36.91,93,90,24.16,light rain
250,Acapulco,MX,16.8634,-99.8901,84.02,70,1,8.05,clear sky
251,Cidreira,BR,-30.1811,-50.2056,74.75,61,26,11.34,scattered clouds
